scope,key,emoji,icon,image_url,accent,notion_icon,sheets_symbol,notes
domain,food,🍲,,,moss,🍲,🍲,Domain home icon/cover fallback
surfaces,food.overview,🏡,,,moss,🏡,🏡,Shared surfaces visual token
surfaces,food.meals,🍽️,,,amber,🍽️,🍽️,Shared surfaces visual token
surfaces,food.kitchen,🥬,,,moss,🥬,🥬,Shared surfaces visual token
surfaces,food.shopping,🛒,,,blue,🛒,🛒,Shared surfaces visual token
collections,household,🏠,,,moss,🏠,🏠,Shared collections visual token
collections,member,🙂,,,plum,🙂,🙂,Shared collections visual token
collections,food_item,🍎,,,moss,🍎,🍎,Shared collections visual token
collections,product,🏷️,,,blue,🏷️,🏷️,Shared collections visual token
collections,inventory,🧺,,,moss,🧺,🧺,Shared collections visual token
collections,inventory_lot,📦,,,amber,📦,📦,Shared collections visual token
collections,inventory_movement,↻,,,blue,↻,↻,Shared collections visual token
collections,ingredient,🧄,,,moss,🧄,🧄,Shared collections visual token
collections,recipe,📖,,,amber,📖,📖,Shared collections visual token
collections,recipe_revision,✍️,,,plum,✍️,✍️,Shared collections visual token
collections,recipe_step,🔥,,,amber,🔥,🔥,Shared collections visual token
collections,recipe_tool,🍳,,,blue,🍳,🍳,Shared collections visual token
collections,meal_template,🧩,,,plum,🧩,🧩,Shared collections visual token
collections,meal_plan,📅,,,moss,📅,📅,Shared collections visual token
collections,meal_log,✅,,,moss,✅,✅,Shared collections visual token
collections,meal_consumption,🥣,,,amber,🥣,🥣,Shared collections visual token
collections,shopping_list,📝,,,blue,📝,📝,Shared collections visual token
collections,shopping_item,🛒,,,blue,🛒,🛒,Shared collections visual token
collections,shopping_demand,❗,,,amber,❗,❗,Shared collections visual token
collections,purchase,🧾,,,plum,🧾,🧾,Shared collections visual token
collections,purchase_line,💳,,,plum,💳,💳,Shared collections visual token
collections,store,🏪,,,blue,🏪,🏪,Shared collections visual token
collections,preference,♡,,,plum,♡,♡,Shared collections visual token
collections,nutrition_goal,🎯,,,moss,🎯,🎯,Shared collections visual token
collections,nutrition_profile,⚖️,,,moss,⚖️,⚖️,Shared collections visual token
collections,nutrition_observation,📈,,,blue,📈,📈,Shared collections visual token
collections,attachment,📎,,,neutral,📎,📎,Shared collections visual token
collections,audit_event,🧭,,,neutral,🧭,🧭,Shared collections visual token
collections,source_record,🔗,,,neutral,🔗,🔗,Shared collections visual token
statuses,planned,📅,,,plum,📅,📅,Shared statuses visual token
statuses,tonight,🌙,,,moss,🌙,🌙,Shared statuses visual token
statuses,to buy,🛒,,,blue,🛒,🛒,Shared statuses visual token
statuses,use soon,⏳,,,amber,⏳,⏳,Shared statuses visual token
statuses,available,✅,,,moss,✅,✅,Shared statuses visual token
statuses,review,👀,,,amber,👀,👀,Shared statuses visual token
actions,add_record,＋,,,moss,＋,＋,Shared actions visual token
actions,ask_with_collection,✦,,,plum,✦,✦,Shared actions visual token
actions,search,⌕,,,blue,⌕,⌕,Shared actions visual token
actions,open_sources,🔗,,,neutral,🔗,🔗,Shared actions visual token
sources,notion,◨,,,neutral,◨,◨,Shared sources visual token
sources,google_sheets,▦,,,moss,▦,▦,Shared sources visual token
sources,sqlite,▣,,,blue,▣,▣,Shared sources visual token
sources,postgres,⬢,,,plum,⬢,⬢,Shared sources visual token
sources,web,🌐,,,blue,🌐,🌐,Shared sources visual token
sources,user,🙂,,,moss,🙂,🙂,Shared sources visual token
skills,food,🍲,,,moss,🍲,🍲,Shared skills visual token
skills,weekly_food_reset,↻,,,amber,↻,↻,Shared skills visual token
skills,source_verifier,🔎,,,blue,🔎,🔎,Shared skills visual token
agents,food_brain,✦,,,plum,✦,✦,Shared agents visual token
agents,source_steward,🔗,,,blue,🔗,🔗,Shared agents visual token
agents,weekly_reset,↻,,,amber,↻,↻,Shared agents visual token
